'Elapsed time','I','II','III','AVR','AVL','AVF','V1','V2','V3','V4','V5','V6'
'hh:mm:ss.mmm','mV','mV','mV','mV','mV','mV','mV','mV','mV','mV','mV','mV'
'0:08.678',-0.075,-0.175,-0.100,0.125,0.013,-0.138,0.041,-0.172,-0.203,-0.203,-0.181,-0.119
'0:08.679',-0.078,-0.191,-0.112,0.134,0.017,-0.152,0.050,-0.156,-0.200,-0.206,-0.181,-0.131
'0:08.680',-0.084,-0.204,-0.120,0.144,0.018,-0.163,0.066,-0.144,-0.206,-0.216,-0.194,-0.147
'0:08.681',-0.087,-0.222,-0.134,0.155,0.023,-0.178,0.081,-0.138,-0.206,-0.225,-0.206,-0.156
'0:08.682',-0.087,-0.231,-0.144,0.159,0.028,-0.188,0.100,-0.134,-0.206,-0.238,-0.225,-0.175
'0:08.683',-0.087,-0.244,-0.156,0.166,0.034,-0.200,0.119,-0.125,-0.206,-0.244,-0.238,-0.188
'0:08.684',-0.089,-0.245,-0.156,0.167,0.034,-0.201,0.131,-0.113,-0.209,-0.253,-0.244,-0.194
'0:08.685',-0.087,-0.244,-0.156,0.166,0.034,-0.200,0.144,-0.094,-0.213,-0.256,-0.250,-0.206
'0:08.686',-0.089,-0.242,-0.153,0.166,0.032,-0.198,0.159,-0.084,-0.209,-0.263,-0.259,-0.206
'0:08.687',-0.087,-0.237,-0.150,0.162,0.031,-0.194,0.169,-0.081,-0.213,-0.269,-0.263,-0.213
'0:08.688',-0.080,-0.231,-0.151,0.156,0.036,-0.191,0.175,-0.072,-0.209,-0.275,-0.272,-0.219
'0:08.689',-0.066,-0.219,-0.153,0.143,0.044,-0.186,0.175,-0.056,-0.206,-0.275,-0.275,-0.225
'0:08.690',-0.053,-0.216,-0.162,0.134,0.054,-0.189,0.178,-0.031,-0.181,-0.269,-0.272,-0.222
'0:08.691',-0.041,-0.203,-0.162,0.122,0.061,-0.183,0.175,-0.006,-0.156,-0.250,-0.263,-0.219
'0:08.692',-0.036,-0.179,-0.143,0.108,0.053,-0.161,0.178,0.016,-0.134,-0.228,-0.241,-0.206
'0:08.693',-0.031,-0.147,-0.116,0.089,0.042,-0.131,0.181,0.038,-0.106,-0.194,-0.219,-0.181
'0:08.694',-0.029,-0.103,-0.074,0.066,0.022,-0.089,0.178,0.050,-0.084,-0.172,-0.184,-0.159
'0:08.695',-0.031,-0.059,-0.028,0.046,-0.002,-0.044,0.181,0.063,-0.056,-0.137,-0.150,-0.125
'0:08.696',-0.028,-0.016,0.012,0.022,-0.021,-0.002,0.181,0.078,-0.022,-0.088,-0.106,-0.081
'0:08.697',-0.019,0.034,0.053,-0.007,-0.036,0.044,0.175,0.094,0.019,-0.038,-0.056,-0.044
'0:08.698',-0.011,0.087,0.098,-0.038,-0.054,0.092,0.166,0.119,0.066,0.013,-0.003,0.003
'0:08.699',0.003,0.141,0.138,-0.072,-0.067,0.139,0.150,0.150,0.119,0.075,0.050,0.050
'0:08.700',0.018,0.193,0.175,-0.105,-0.079,0.184,0.128,0.175,0.169,0.137,0.116,0.106
'0:08.701',0.031,0.247,0.216,-0.139,-0.092,0.231,0.100,0.200,0.225,0.206,0.181,0.162
'0:08.702',0.050,0.309,0.259,-0.179,-0.105,0.284,0.081,0.231,0.281,0.284,0.253,0.222
'0:08.703',0.072,0.378,0.306,-0.225,-0.117,0.342,0.062,0.269,0.350,0.363,0.331,0.294
'0:08.704',0.095,0.450,0.355,-0.272,-0.130,0.402,0.044,0.319,0.422,0.444,0.406,0.359
'0:08.705',0.119,0.519,0.400,-0.319,-0.141,0.459,0.025,0.375,0.513,0.544,0.494,0.431
'0:08.706',0.145,0.597,0.452,-0.371,-0.154,0.524,0.006,0.434,0.603,0.641,0.584,0.503
'0:08.707',0.178,0.681,0.503,-0.429,-0.162,0.592,-0.025,0.500,0.706,0.744,0.681,0.581
'0:08.708',0.204,0.767,0.563,-0.486,-0.179,0.665,-0.069,0.562,0.809,0.869,0.803,0.678
'0:08.709',0.234,0.866,0.631,-0.550,-0.199,0.748,-0.119,0.631,0.919,0.987,0.925,0.775
'0:08.710',0.253,0.961,0.708,-0.607,-0.228,0.834,-0.153,0.700,1.041,1.116,1.044,0.872
'0:08.711',0.272,1.053,0.781,-0.663,-0.255,0.917,-0.194,0.762,1.156,1.250,1.162,0.969
'0:08.712',0.288,1.142,0.854,-0.714,-0.284,0.998,-0.216,0.809,1.272,1.378,1.278,1.062
'0:08.713',0.300,1.231,0.931,-0.766,-0.316,1.081,-0.244,0.850,1.381,1.494,1.381,1.150
'0:08.714',0.313,1.300,0.988,-0.806,-0.337,1.144,-0.272,0.878,1.475,1.603,1.475,1.219
'0:08.715',0.319,1.347,1.028,-0.832,-0.355,1.187,-0.294,0.906,1.569,1.700,1.556,1.275
'0:08.716',0.317,1.382,1.066,-0.849,-0.374,1.224,-0.309,0.925,1.650,1.797,1.619,1.322
'0:08.717',0.316,1.419,1.103,-0.867,-0.394,1.261,-0.325,0.938,1.725,1.881,1.687,1.362
'0:08.718',0.313,1.454,1.142,-0.883,-0.415,1.298,-0.341,0.938,1.784,1.947,1.728,1.387
'0:08.719',0.309,1.488,1.178,-0.898,-0.434,1.332,-0.356,0.931,1.837,2.006,1.769,1.406
'0:08.720',0.294,1.529,1.236,-0.911,-0.471,1.382,-0.372,0.922,1.884,2.075,1.812,1.431
'0:08.721',0.275,1.547,1.272,-0.911,-0.499,1.409,-0.381,0.906,1.925,2.113,1.831,1.437
'0:08.722',0.251,1.503,1.252,-0.877,-0.501,1.377,-0.369,0.903,1.956,2.137,1.825,1.409
'0:08.723',0.234,1.422,1.188,-0.828,-0.477,1.304,-0.363,0.906,1.981,2.144,1.794,1.362
'0:08.724',0.228,1.329,1.101,-0.779,-0.437,1.215,-0.372,0.891,2.000,2.147,1.759,1.309
'0:08.725',0.222,1.241,1.019,-0.731,-0.399,1.129,-0.381,0.862,2.006,2.144,1.719,1.256
'0:08.726',0.214,1.142,0.928,-0.678,-0.357,1.035,-0.403,0.803,1.981,2.103,1.662,1.194
'0:08.727',0.209,1.044,0.834,-0.626,-0.312,0.939,-0.419,0.737,1.950,2.062,1.600,1.131
'0:08.728',0.199,0.959,0.761,-0.579,-0.281,0.860,-0.441,0.666,1.912,2.019,1.550,1.078
'0:08.729',0.188,0.894,0.706,-0.541,-0.259,0.800,-0.463,0.594,1.875,1.981,1.494,1.025
'0:08.730',0.184,0.837,0.653,-0.511,-0.234,0.745,-0.481,0.534,1.844,1.937,1.450,0.981
'0:08.731',0.175,0.784,0.609,-0.479,-0.218,0.697,-0.506,0.469,1.775,1.862,1.381,0.931
