'Elapsed time','I','II','III','AVR','AVL','AVF','V1','V2','V3','V4','V5','V6'
'hh:mm:ss.mmm','mV','mV','mV','mV','mV','mV','mV','mV','mV','mV','mV','mV'
'0:00.000',0.192,0.253,0.061,-0.222,0.065,0.157,-0.041,0.722,0.638,0.475,0.413,0.244
'0:00.001',0.191,0.253,0.063,-0.222,0.064,0.157,-0.038,0.719,0.638,0.475,0.413,0.250
'0:00.002',0.189,0.253,0.064,-0.221,0.063,0.158,-0.034,0.716,0.638,0.475,0.413,0.256
'0:00.003',0.188,0.253,0.066,-0.220,0.061,0.159,-0.031,0.712,0.638,0.475,0.413,0.262
'0:00.004',0.186,0.257,0.071,-0.221,0.058,0.164,-0.034,0.719,0.641,0.478,0.413,0.266
'0:00.005',0.181,0.256,0.075,-0.219,0.053,0.166,-0.031,0.719,0.638,0.475,0.413,0.262
'0:00.006',0.184,0.257,0.073,-0.221,0.056,0.165,-0.031,0.712,0.628,0.472,0.409,0.266
'0:00.007',0.188,0.263,0.075,-0.225,0.056,0.169,-0.031,0.700,0.613,0.469,0.406,0.262
'0:00.008',0.183,0.263,0.079,-0.222,0.052,0.171,-0.031,0.694,0.613,0.466,0.406,0.266
'0:00.009',0.175,0.263,0.088,-0.219,0.044,0.175,-0.031,0.681,0.600,0.462,0.400,0.262
'0:00.010',0.174,0.261,0.088,-0.218,0.043,0.174,-0.031,0.675,0.594,0.453,0.394,0.262
'0:00.011',0.166,0.256,0.091,-0.211,0.038,0.173,-0.031,0.669,0.588,0.444,0.388,0.256
'0:00.012',0.166,0.253,0.088,-0.209,0.039,0.170,-0.034,0.653,0.572,0.431,0.375,0.244
'0:00.013',0.163,0.250,0.088,-0.206,0.038,0.169,-0.031,0.644,0.569,0.425,0.369,0.237
'0:00.014',0.153,0.246,0.093,-0.199,0.030,0.169,-0.025,0.634,0.553,0.422,0.366,0.241
'0:00.015',0.147,0.237,0.091,-0.192,0.028,0.164,-0.019,0.619,0.544,0.419,0.363,0.237
'0:00.016',0.144,0.234,0.091,-0.189,0.026,0.162,-0.019,0.606,0.531,0.406,0.353,0.234
'0:00.017',0.144,0.234,0.091,-0.189,0.026,0.162,-0.019,0.587,0.513,0.388,0.344,0.225
'0:00.018',0.141,0.228,0.088,-0.184,0.026,0.157,-0.016,0.569,0.497,0.375,0.331,0.216
'0:00.019',0.134,0.222,0.088,-0.178,0.023,0.154,-0.006,0.550,0.475,0.363,0.319,0.212
'0:00.020',0.127,0.220,0.093,-0.173,0.017,0.156,-0.006,0.537,0.459,0.353,0.306,0.200
'0:00.021',0.122,0.219,0.097,-0.170,0.013,0.157,-0.006,0.519,0.438,0.337,0.294,0.194
'0:00.022',0.122,0.212,0.091,-0.167,0.016,0.151,-0.006,0.500,0.425,0.322,0.281,0.184
'0:00.023',0.122,0.206,0.084,-0.164,0.019,0.145,-0.006,0.487,0.413,0.306,0.275,0.181
'0:00.024',0.116,0.200,0.084,-0.158,0.016,0.142,-0.003,0.469,0.397,0.300,0.266,0.172
'0:00.025',0.103,0.187,0.084,-0.145,0.009,0.136,0.000,0.456,0.388,0.294,0.256,0.162
'0:00.026',0.104,0.178,0.074,-0.141,0.015,0.126,-0.003,0.438,0.363,0.278,0.241,0.153
'0:00.027',0.103,0.172,0.069,-0.137,0.017,0.120,0.000,0.419,0.344,0.262,0.225,0.150
'0:00.028',0.099,0.161,0.063,-0.130,0.018,0.112,0.003,0.403,0.331,0.247,0.213,0.141
'0:00.029',0.091,0.153,0.063,-0.122,0.014,0.107,0.006,0.388,0.313,0.231,0.200,0.137
'0:00.030',0.084,0.147,0.063,-0.116,0.011,0.104,0.009,0.372,0.297,0.216,0.194,0.125
'0:00.031',0.081,0.141,0.059,-0.111,0.011,0.100,0.012,0.350,0.275,0.200,0.175,0.112
'0:00.032',0.083,0.134,0.052,-0.108,0.015,0.093,0.016,0.334,0.266,0.191,0.162,0.103
'0:00.033',0.081,0.128,0.047,-0.104,0.017,0.087,0.019,0.319,0.250,0.175,0.150,0.094
'0:00.034',0.074,0.121,0.047,-0.097,0.013,0.084,0.025,0.306,0.238,0.163,0.141,0.091
'0:00.035',0.069,0.116,0.047,-0.092,0.011,0.081,0.025,0.288,0.225,0.150,0.131,0.087
'0:00.036',0.056,0.109,0.053,-0.082,0.001,0.081,0.025,0.275,0.203,0.137,0.116,0.075
'0:00.037',0.047,0.103,0.056,-0.075,-0.005,0.079,0.025,0.256,0.188,0.131,0.106,0.069
'0:00.038',0.039,0.091,0.051,-0.065,-0.006,0.071,0.028,0.241,0.175,0.112,0.097,0.066
'0:00.039',0.028,0.078,0.050,-0.053,-0.011,0.064,0.037,0.225,0.156,0.100,0.087,0.062
'0:00.040',0.025,0.071,0.046,-0.047,-0.011,0.058,0.037,0.216,0.144,0.091,0.081,0.050
'0:00.041',0.025,0.062,0.037,-0.044,-0.006,0.050,0.037,0.200,0.125,0.081,0.069,0.037
'0:00.042',0.026,0.058,0.032,-0.042,-0.003,0.045,0.037,0.181,0.116,0.066,0.053,0.031
'0:00.043',0.025,0.050,0.025,-0.038,0.000,0.037,0.037,0.169,0.100,0.056,0.044,0.025
'0:00.044',0.018,0.047,0.029,-0.032,-0.006,0.038,0.034,0.159,0.088,0.047,0.028,0.022
'0:00.045',0.012,0.041,0.028,-0.026,-0.008,0.034,0.031,0.144,0.075,0.037,0.019,0.012
'0:00.046',0.009,0.031,0.022,-0.020,-0.006,0.026,0.037,0.131,0.056,0.025,0.019,0.003
'0:00.047',0.009,0.022,0.012,-0.016,-0.002,0.017,0.037,0.113,0.044,0.013,0.013,0.000
'0:00.048',0.008,0.019,0.011,-0.013,-0.002,0.015,0.041,0.106,0.031,0.003,0.003,-0.016
'0:00.049',0.009,0.013,0.003,-0.011,0.003,0.007,0.044,0.094,0.025,-0.006,-0.006,-0.025
'0:00.050',0.006,0.003,-0.003,-0.004,0.004,0.000,0.047,0.081,0.019,-0.019,-0.016,-0.025
'0:00.051',0.000,-0.006,-0.006,0.003,0.003,-0.006,0.050,0.069,0.006,-0.025,-0.025,-0.025
'0:00.052',0.000,-0.009,-0.009,0.005,0.004,-0.009,0.056,0.063,-0.006,-0.041,-0.031,-0.031
'0:00.053',-0.006,-0.019,-0.012,0.013,0.003,-0.016,0.050,0.050,-0.013,-0.050,-0.038,-0.038
'0:00.054',-0.008,-0.022,-0.014,0.015,0.003,-0.018,0.047,0.034,-0.022,-0.053,-0.050,-0.044
'0:00.055',-0.012,-0.028,-0.016,0.021,0.001,-0.022,0.044,0.025,-0.031,-0.056,-0.050,-0.050
'0:00.056',-0.016,-0.028,-0.012,0.022,-0.002,-0.021,0.044,0.016,-0.041,-0.066,-0.056,-0.050
'0:00.057',-0.022,-0.034,-0.012,0.028,-0.005,-0.024,0.050,0.006,-0.050,-0.075,-0.063,-0.056
'0:00.058',-0.019,-0.041,-0.022,0.030,0.001,-0.031,0.041,-0.003,-0.059,-0.081,-0.063,-0.059
'0:00.059',-0.019,-0.044,-0.025,0.031,0.003,-0.034,0.037,-0.013,-0.069,-0.088,-0.069,-0.069
'0:00.060',-0.017,-0.050,-0.032,0.034,0.008,-0.041,0.041,-0.019,-0.075,-0.097,-0.084,-0.069
'0:00.061',-0.016,-0.056,-0.041,0.036,0.013,-0.049,0.037,-0.025,-0.081,-0.100,-0.088,-0.075
'0:00.062',-0.019,-0.059,-0.041,0.039,0.011,-0.050,0.037,-0.028,-0.088,-0.103,-0.091,-0.072
'0:00.063',-0.022,-0.066,-0.044,0.044,0.011,-0.055,0.037,-0.031,-0.094,-0.106,-0.094,-0.075
'0:00.064',-0.025,-0.072,-0.047,0.049,0.011,-0.059,0.041,-0.044,-0.100,-0.113,-0.094,-0.075
'0:00.065',-0.031,-0.075,-0.044,0.053,0.006,-0.059,0.044,-0.050,-0.106,-0.113,-0.100,-0.081
'0:00.066',-0.034,-0.080,-0.046,0.058,0.006,-0.063,0.041,-0.053,-0.113,-0.119,-0.100,-0.084
'0:00.067',-0.034,-0.081,-0.047,0.058,0.006,-0.064,0.037,-0.063,-0.119,-0.125,-0.106,-0.088
'0:00.068',-0.036,-0.084,-0.048,0.061,0.006,-0.066,0.037,-0.063,-0.125,-0.131,-0.109,-0.094
'0:00.069',-0.034,-0.087,-0.053,0.061,0.009,-0.071,0.037,-0.069,-0.125,-0.137,-0.119,-0.094
'0:00.070',-0.039,-0.084,-0.046,0.062,0.003,-0.065,0.037,-0.069,-0.131,-0.137,-0.122,-0.097
'0:00.071',-0.041,-0.087,-0.047,0.064,0.003,-0.068,0.037,-0.069,-0.138,-0.144,-0.119,-0.094
'0:00.072',-0.041,-0.086,-0.046,0.064,0.003,-0.066,0.037,-0.081,-0.138,-0.141,-0.122,-0.100
'0:00.073',-0.037,-0.087,-0.050,0.063,0.006,-0.069,0.037,-0.081,-0.144,-0.137,-0.119,-0.100
'0:00.074',-0.034,-0.091,-0.056,0.063,0.011,-0.074,0.034,-0.088,-0.141,-0.144,-0.125,-0.100
'0:00.075',-0.031,-0.091,-0.059,0.061,0.014,-0.075,0.031,-0.088,-0.144,-0.150,-0.125,-0.106
'0:00.076',-0.034,-0.091,-0.056,0.063,0.011,-0.074,0.034,-0.094,-0.150,-0.153,-0.128,-0.106
'0:00.077',-0.037,-0.097,-0.059,0.067,0.011,-0.078,0.037,-0.100,-0.150,-0.163,-0.137,-0.106
'0:00.078',-0.041,-0.100,-0.059,0.071,0.009,-0.080,0.037,-0.097,-0.159,-0.163,-0.137,-0.109
'0:00.079',-0.041,-0.103,-0.062,0.072,0.011,-0.083,0.037,-0.100,-0.163,-0.163,-0.144,-0.119
'0:00.080',-0.037,-0.102,-0.064,0.070,0.013,-0.083,0.034,-0.100,-0.163,-0.172,-0.147,-0.122
'0:00.081',-0.031,-0.100,-0.069,0.066,0.019,-0.084,0.031,-0.106,-0.169,-0.175,-0.150,-0.125
'0:00.082',-0.025,-0.097,-0.072,0.061,0.023,-0.084,0.031,-0.109,-0.172,-0.178,-0.150,-0.125
'0:00.083',-0.019,-0.097,-0.078,0.058,0.029,-0.088,0.031,-0.106,-0.169,-0.175,-0.156,-0.125
'0:00.084',-0.029,-0.101,-0.072,0.066,0.021,-0.087,0.031,-0.109,-0.175,-0.172,-0.156,-0.125
'0:00.085',-0.041,-0.103,-0.062,0.072,0.011,-0.083,0.031,-0.113,-0.175,-0.169,-0.156,-0.125
'0:00.086',-0.050,-0.106,-0.056,0.078,0.003,-0.081,0.031,-0.109,-0.175,-0.175,-0.150,-0.122
'0:00.087',-0.059,-0.106,-0.047,0.083,-0.006,-0.077,0.031,-0.113,-0.175,-0.175,-0.144,-0.119
'0:00.088',-0.058,-0.106,-0.048,0.083,-0.005,-0.078,0.031,-0.113,-0.172,-0.175,-0.150,-0.116
'0:00.089',-0.056,-0.106,-0.050,0.081,-0.003,-0.078,0.031,-0.119,-0.175,-0.181,-0.150,-0.119
'0:00.090',-0.052,-0.108,-0.056,0.080,0.002,-0.083,0.034,-0.116,-0.169,-0.181,-0.150,-0.116
'0:00.091',-0.047,-0.106,-0.059,0.077,0.006,-0.083,0.037,-0.119,-0.169,-0.181,-0.156,-0.119
'0:00.092',-0.050,-0.106,-0.056,0.078,0.003,-0.081,0.037,-0.116,-0.178,-0.188,-0.153,-0.119
'0:00.093',-0.053,-0.109,-0.056,0.081,0.001,-0.083,0.037,-0.113,-0.175,-0.181,-0.150,-0.119
'0:00.094',-0.049,-0.108,-0.059,0.079,0.005,-0.084,0.037,-0.113,-0.175,-0.178,-0.150,-0.119
'0:00.095',-0.044,-0.106,-0.062,0.075,0.009,-0.084,0.037,-0.113,-0.181,-0.181,-0.150,-0.119
'0:00.096',-0.044,-0.111,-0.067,0.077,0.011,-0.089,0.037,-0.113,-0.181,-0.175,-0.150,-0.122
'0:00.097',-0.037,-0.112,-0.075,0.075,0.019,-0.094,0.037,-0.113,-0.181,-0.181,-0.150,-0.125
'0:00.098',-0.041,-0.109,-0.069,0.075,0.014,-0.089,0.041,-0.119,-0.181,-0.178,-0.147,-0.125
'0:00.099',-0.041,-0.112,-0.072,0.077,0.016,-0.093,0.044,-0.119,-0.181,-0.175,-0.144,-0.125
'0:00.100',-0.042,-0.111,-0.069,0.077,0.014,-0.091,0.041,-0.116,-0.181,-0.175,-0.153,-0.134
'0:00.101',-0.041,-0.106,-0.066,0.074,0.013,-0.086,0.037,-0.119,-0.188,-0.175,-0.150,-0.131
'0:00.102',-0.041,-0.108,-0.067,0.074,0.013,-0.088,0.037,-0.119,-0.188,-0.175,-0.156,-0.128
'0:00.103',-0.044,-0.106,-0.062,0.075,0.009,-0.084,0.037,-0.119,-0.188,-0.175,-0.156,-0.125
'0:00.104',-0.050,-0.104,-0.054,0.077,0.002,-0.079,0.034,-0.122,-0.181,-0.175,-0.153,-0.128
'0:00.105',-0.050,-0.106,-0.056,0.078,0.003,-0.081,0.031,-0.125,-0.175,-0.175,-0.150,-0.119
'0:00.106',-0.051,-0.105,-0.054,0.078,0.001,-0.079,0.041,-0.122,-0.178,-0.172,-0.144,-0.119
'0:00.107',-0.056,-0.106,-0.050,0.081,-0.003,-0.078,0.050,-0.119,-0.181,-0.169,-0.144,-0.119
'0:00.108',-0.061,-0.109,-0.049,0.085,-0.006,-0.079,0.047,-0.122,-0.178,-0.169,-0.150,-0.119
'0:00.109',-0.062,-0.112,-0.050,0.088,-0.006,-0.081,0.044,-0.125,-0.175,-0.169,-0.150,-0.119
'0:00.110',-0.058,-0.112,-0.054,0.086,-0.002,-0.084,0.041,-0.122,-0.175,-0.172,-0.153,-0.119
'0:00.111',-0.053,-0.112,-0.059,0.083,0.003,-0.086,0.037,-0.119,-0.175,-0.175,-0.150,-0.119
'0:00.112',-0.047,-0.109,-0.062,0.078,0.008,-0.086,0.037,-0.122,-0.175,-0.175,-0.150,-0.119
'0:00.113',-0.041,-0.106,-0.066,0.074,0.013,-0.086,0.037,-0.125,-0.175,-0.175,-0.150,-0.119
'0:00.114',-0.039,-0.106,-0.067,0.073,0.014,-0.087,0.037,-0.116,-0.172,-0.175,-0.150,-0.119
'0:00.115',-0.037,-0.106,-0.069,0.072,0.016,-0.088,0.037,-0.113,-0.169,-0.175,-0.150,-0.119
'0:00.116',-0.045,-0.106,-0.061,0.076,0.008,-0.084,0.041,-0.122,-0.169,-0.175,-0.150,-0.119
'0:00.117',-0.047,-0.106,-0.059,0.077,0.006,-0.083,0.044,-0.119,-0.169,-0.169,-0.150,-0.119
'0:00.118',-0.047,-0.108,-0.061,0.077,0.007,-0.084,0.044,-0.116,-0.163,-0.172,-0.147,-0.116
'0:00.119',-0.053,-0.109,-0.056,0.081,0.001,-0.083,0.044,-0.113,-0.163,-0.169,-0.144,-0.113
'0:00.120',-0.052,-0.111,-0.059,0.081,0.003,-0.085,0.044,-0.109,-0.163,-0.159,-0.144,-0.113
'0:00.121',-0.050,-0.109,-0.059,0.080,0.004,-0.084,0.044,-0.106,-0.163,-0.163,-0.144,-0.113
'0:00.122',-0.042,-0.105,-0.062,0.074,0.010,-0.084,0.044,-0.109,-0.163,-0.166,-0.147,-0.109
'0:00.123',-0.037,-0.100,-0.062,0.069,0.013,-0.081,0.044,-0.113,-0.163,-0.169,-0.150,-0.106
'0:00.124',-0.039,-0.096,-0.057,0.067,0.009,-0.076,0.041,-0.109,-0.163,-0.166,-0.150,-0.109
'0:00.125',-0.041,-0.094,-0.053,0.067,0.006,-0.074,0.037,-0.106,-0.163,-0.175,-0.144,-0.113
'0:00.126',-0.039,-0.094,-0.054,0.067,0.008,-0.074,0.037,-0.109,-0.163,-0.166,-0.141,-0.116
'0:00.127',-0.044,-0.094,-0.050,0.069,0.003,-0.072,0.037,-0.106,-0.156,-0.163,-0.137,-0.119
'0:00.128',-0.042,-0.091,-0.049,0.066,0.003,-0.070,0.037,-0.106,-0.159,-0.166,-0.137,-0.113
'0:00.129',-0.047,-0.091,-0.044,0.069,-0.002,-0.068,0.037,-0.106,-0.156,-0.163,-0.137,-0.113
'0:00.130',-0.047,-0.092,-0.045,0.069,-0.001,-0.069,0.037,-0.106,-0.153,-0.163,-0.134,-0.113
'0:00.131',-0.047,-0.094,-0.047,0.071,0.000,-0.071,0.037,-0.106,-0.150,-0.163,-0.131,-0.113
'0:00.132',-0.045,-0.094,-0.049,0.069,0.002,-0.071,0.037,-0.103,-0.156,-0.159,-0.141,-0.113
'0:00.133',-0.050,-0.097,-0.047,0.074,-0.002,-0.072,0.037,-0.100,-0.150,-0.156,-0.137,-0.113
'0:00.134',-0.054,-0.097,-0.042,0.076,-0.006,-0.070,0.037,-0.100,-0.150,-0.153,-0.137,-0.109
'0:00.135',-0.056,-0.094,-0.037,0.075,-0.009,-0.066,0.037,-0.100,-0.150,-0.150,-0.137,-0.106
'0:00.136',-0.056,-0.093,-0.036,0.074,-0.010,-0.064,0.041,-0.100,-0.150,-0.150,-0.134,-0.106
'0:00.137',-0.056,-0.091,-0.034,0.074,-0.011,-0.063,0.044,-0.100,-0.150,-0.150,-0.131,-0.106
'0:00.138',-0.055,-0.092,-0.037,0.074,-0.009,-0.064,0.041,-0.100,-0.147,-0.147,-0.128,-0.106
'0:00.139',-0.053,-0.094,-0.041,0.074,-0.006,-0.068,0.037,-0.100,-0.144,-0.144,-0.125,-0.106
'0:00.140',-0.053,-0.091,-0.037,0.072,-0.008,-0.064,0.037,-0.094,-0.144,-0.147,-0.128,-0.103
'0:00.141',-0.053,-0.094,-0.041,0.074,-0.006,-0.068,0.037,-0.100,-0.144,-0.150,-0.131,-0.100
'0:00.142',-0.047,-0.089,-0.042,0.068,-0.002,-0.066,0.037,-0.103,-0.150,-0.153,-0.134,-0.103
'0:00.143',-0.044,-0.087,-0.044,0.066,0.000,-0.066,0.037,-0.106,-0.150,-0.150,-0.137,-0.106
'0:00.144',-0.044,-0.089,-0.045,0.066,0.001,-0.067,0.037,-0.097,-0.147,-0.150,-0.134,-0.106
'0:00.145',-0.044,-0.087,-0.044,0.066,0.000,-0.066,0.037,-0.094,-0.144,-0.150,-0.131,-0.106
'0:00.146',-0.041,-0.087,-0.047,0.064,0.003,-0.068,0.037,-0.091,-0.147,-0.150,-0.131,-0.109
'0:00.147',-0.037,-0.087,-0.050,0.063,0.006,-0.069,0.037,-0.088,-0.150,-0.150,-0.131,-0.113
'0:00.148',-0.041,-0.087,-0.047,0.064,0.003,-0.068,0.037,-0.091,-0.150,-0.150,-0.134,-0.113
'0:00.149',-0.041,-0.087,-0.047,0.064,0.003,-0.068,0.037,-0.094,-0.150,-0.150,-0.131,-0.113
'0:00.150',-0.044,-0.087,-0.044,0.066,0.000,-0.066,0.037,-0.084,-0.144,-0.150,-0.128,-0.113
'0:00.151',-0.044,-0.087,-0.044,0.066,0.000,-0.066,0.037,-0.088,-0.144,-0.150,-0.131,-0.113
'0:00.152',-0.045,-0.086,-0.041,0.066,-0.002,-0.063,0.037,-0.084,-0.144,-0.147,-0.131,-0.113
'0:00.153',-0.050,-0.087,-0.037,0.069,-0.006,-0.063,0.037,-0.088,-0.144,-0.144,-0.131,-0.113
'0:00.154',-0.052,-0.089,-0.037,0.071,-0.007,-0.063,0.037,-0.088,-0.141,-0.144,-0.128,-0.109
'0:00.155',-0.050,-0.094,-0.044,0.072,-0.003,-0.069,0.037,-0.088,-0.138,-0.144,-0.125,-0.106
'0:00.156',-0.053,-0.089,-0.036,0.071,-0.009,-0.063,0.037,-0.084,-0.138,-0.137,-0.125,-0.097
'0:00.157',-0.053,-0.091,-0.037,0.072,-0.008,-0.064,0.037,-0.081,-0.138,-0.137,-0.125,-0.100
'0:00.158',-0.053,-0.086,-0.033,0.070,-0.010,-0.060,0.037,-0.081,-0.138,-0.137,-0.128,-0.097
'0:00.159',-0.050,-0.084,-0.034,0.067,-0.008,-0.059,0.037,-0.081,-0.138,-0.137,-0.131,-0.094
'0:00.160',-0.049,-0.083,-0.034,0.066,-0.007,-0.059,0.041,-0.081,-0.128,-0.137,-0.125,-0.097
'0:00.161',-0.044,-0.081,-0.037,0.063,-0.003,-0.059,0.044,-0.081,-0.131,-0.137,-0.131,-0.100
'0:00.162',-0.044,-0.084,-0.041,0.064,-0.002,-0.063,0.041,-0.084,-0.131,-0.134,-0.131,-0.103
'0:00.163',-0.044,-0.087,-0.044,0.066,0.000,-0.066,0.037,-0.088,-0.131,-0.131,-0.125,-0.106
'0:00.164',-0.041,-0.084,-0.044,0.063,0.001,-0.064,0.037,-0.088,-0.131,-0.131,-0.128,-0.106
'0:00.165',-0.041,-0.084,-0.044,0.063,0.001,-0.064,0.037,-0.088,-0.131,-0.131,-0.125,-0.106
'0:00.166',-0.036,-0.080,-0.044,0.058,0.004,-0.062,0.037,-0.088,-0.134,-0.131,-0.125,-0.109
'0:00.167',-0.031,-0.075,-0.044,0.053,0.006,-0.059,0.037,-0.088,-0.138,-0.131,-0.125,-0.113
'0:00.168',-0.037,-0.078,-0.041,0.058,0.001,-0.059,0.037,-0.088,-0.138,-0.134,-0.131,-0.116
'0:00.169',-0.037,-0.078,-0.041,0.058,0.001,-0.059,0.037,-0.088,-0.138,-0.137,-0.131,-0.113
'0:00.170',-0.039,-0.076,-0.037,0.058,-0.001,-0.057,0.034,-0.088,-0.128,-0.134,-0.125,-0.106
'0:00.171',-0.037,-0.078,-0.041,0.058,0.001,-0.059,0.031,-0.088,-0.131,-0.131,-0.125,-0.100
'0:00.172',-0.033,-0.078,-0.045,0.056,0.006,-0.062,0.034,-0.091,-0.131,-0.131,-0.128,-0.103
'0:00.173',-0.034,-0.078,-0.044,0.056,0.004,-0.061,0.037,-0.094,-0.131,-0.131,-0.131,-0.106
'0:00.174',-0.042,-0.077,-0.035,0.059,-0.004,-0.056,0.037,-0.091,-0.134,-0.131,-0.131,-0.100
'0:00.175',-0.047,-0.075,-0.028,0.061,-0.009,-0.052,0.037,-0.088,-0.138,-0.131,-0.131,-0.100
'0:00.176',-0.044,-0.075,-0.031,0.059,-0.006,-0.053,0.037,-0.088,-0.134,-0.137,-0.128,-0.100
'0:00.177',-0.041,-0.072,-0.031,0.056,-0.005,-0.052,0.037,-0.088,-0.131,-0.137,-0.125,-0.100
'0:00.178',-0.039,-0.073,-0.034,0.056,-0.002,-0.054,0.037,-0.088,-0.134,-0.131,-0.125,-0.100
'0:00.179',-0.041,-0.078,-0.037,0.059,-0.002,-0.058,0.037,-0.088,-0.131,-0.137,-0.125,-0.100
'0:00.180',-0.042,-0.079,-0.037,0.061,-0.003,-0.058,0.041,-0.088,-0.128,-0.131,-0.128,-0.100
'0:00.181',-0.041,-0.087,-0.047,0.064,0.003,-0.068,0.044,-0.088,-0.131,-0.137,-0.131,-0.100
'0:00.182',-0.042,-0.089,-0.046,0.066,0.002,-0.068,0.044,-0.088,-0.131,-0.128,-0.131,-0.100
'0:00.183',-0.037,-0.087,-0.050,0.063,0.006,-0.069,0.044,-0.081,-0.131,-0.131,-0.131,-0.100
'0:00.184',-0.036,-0.086,-0.051,0.061,0.008,-0.069,0.044,-0.081,-0.131,-0.134,-0.128,-0.100
'0:00.185',-0.041,-0.087,-0.047,0.064,0.003,-0.068,0.044,-0.081,-0.131,-0.137,-0.131,-0.100
'0:00.186',-0.047,-0.091,-0.044,0.069,-0.002,-0.068,0.047,-0.081,-0.128,-0.128,-0.125,-0.100
'0:00.187',-0.050,-0.091,-0.041,0.071,-0.005,-0.066,0.050,-0.081,-0.125,-0.131,-0.131,-0.100
'0:00.188',-0.051,-0.086,-0.035,0.069,-0.008,-0.061,0.050,-0.084,-0.125,-0.134,-0.128,-0.103
'0:00.189',-0.053,-0.084,-0.031,0.069,-0.011,-0.058,0.050,-0.088,-0.125,-0.137,-0.131,-0.106
'0:00.190',-0.053,-0.087,-0.034,0.071,-0.009,-0.061,0.050,-0.088,-0.128,-0.137,-0.128,-0.106
'0:00.191',-0.050,-0.084,-0.034,0.067,-0.008,-0.059,0.050,-0.094,-0.131,-0.137,-0.131,-0.106
'0:00.192',-0.050,-0.083,-0.033,0.067,-0.009,-0.058,0.050,-0.088,-0.131,-0.137,-0.134,-0.106
'0:00.193',-0.050,-0.084,-0.034,0.067,-0.008,-0.059,0.050,-0.094,-0.131,-0.137,-0.137,-0.106
'0:00.194',-0.050,-0.083,-0.032,0.066,-0.009,-0.058,0.053,-0.094,-0.128,-0.134,-0.137,-0.106
'0:00.195',-0.050,-0.084,-0.034,0.067,-0.008,-0.059,0.056,-0.094,-0.131,-0.137,-0.137,-0.106
'0:00.196',-0.049,-0.078,-0.029,0.064,-0.010,-0.054,0.047,-0.094,-0.131,-0.141,-0.137,-0.106
'0:00.197',-0.047,-0.075,-0.028,0.061,-0.009,-0.052,0.044,-0.094,-0.131,-0.144,-0.137,-0.113
'0:00.198',-0.044,-0.075,-0.031,0.059,-0.006,-0.053,0.037,-0.103,-0.134,-0.144,-0.134,-0.116
'0:00.199',-0.037,-0.075,-0.037,0.056,0.000,-0.056,0.031,-0.106,-0.138,-0.144,-0.137,-0.113
'0:00.200',-0.039,-0.073,-0.034,0.056,-0.002,-0.054,0.031,-0.097,-0.141,-0.141,-0.134,-0.116
'0:00.201',-0.041,-0.075,-0.034,0.058,-0.003,-0.055,0.031,-0.100,-0.144,-0.137,-0.131,-0.113
'0:00.202',-0.039,-0.075,-0.036,0.058,-0.002,-0.056,0.034,-0.100,-0.141,-0.141,-0.134,-0.113
'0:00.203',-0.034,-0.075,-0.041,0.055,0.003,-0.058,0.037,-0.100,-0.138,-0.137,-0.137,-0.113
'0:00.204',-0.032,-0.079,-0.047,0.056,0.007,-0.063,0.037,-0.097,-0.134,-0.137,-0.137,-0.113
'0:00.205',-0.041,-0.087,-0.047,0.064,0.003,-0.068,0.037,-0.100,-0.138,-0.137,-0.137,-0.113
'0:00.206',-0.042,-0.087,-0.046,0.065,0.002,-0.067,0.037,-0.097,-0.134,-0.141,-0.137,-0.113
'0:00.207',-0.044,-0.087,-0.044,0.066,0.000,-0.066,0.044,-0.100,-0.138,-0.144,-0.137,-0.113
'0:00.208',-0.037,-0.084,-0.047,0.061,0.004,-0.066,0.037,-0.097,-0.144,-0.144,-0.144,-0.113
'0:00.209',-0.034,-0.081,-0.047,0.058,0.006,-0.064,0.044,-0.100,-0.144,-0.144,-0.144,-0.113
'0:00.210',-0.034,-0.079,-0.045,0.057,0.005,-0.063,0.041,-0.100,-0.144,-0.141,-0.147,-0.109
'0:00.211',-0.034,-0.081,-0.047,0.058,0.006,-0.064,0.044,-0.100,-0.144,-0.137,-0.150,-0.106
'0:00.212',-0.034,-0.086,-0.051,0.060,0.008,-0.069,0.041,-0.103,-0.150,-0.134,-0.150,-0.113
'0:00.213',-0.037,-0.084,-0.047,0.061,0.004,-0.066,0.037,-0.100,-0.150,-0.137,-0.156,-0.113
'0:00.214',-0.039,-0.083,-0.044,0.061,0.003,-0.064,0.037,-0.100,-0.150,-0.141,-0.156,-0.116
'0:00.215',-0.044,-0.084,-0.041,0.064,-0.002,-0.063,0.037,-0.100,-0.150,-0.144,-0.150,-0.119
'0:00.216',-0.048,-0.087,-0.039,0.068,-0.004,-0.064,0.041,-0.103,-0.150,-0.141,-0.147,-0.119
'0:00.217',-0.053,-0.091,-0.037,0.072,-0.008,-0.064,0.044,-0.106,-0.150,-0.137,-0.150,-0.113
'0:00.218',-0.056,-0.094,-0.037,0.075,-0.009,-0.066,0.044,-0.106,-0.147,-0.137,-0.147,-0.109
'0:00.219',-0.056,-0.094,-0.037,0.075,-0.009,-0.066,0.044,-0.106,-0.144,-0.137,-0.150,-0.106
'0:00.220',-0.050,-0.089,-0.039,0.070,-0.006,-0.064,0.047,-0.109,-0.144,-0.147,-0.153,-0.116
'0:00.221',-0.047,-0.084,-0.037,0.066,-0.005,-0.061,0.050,-0.113,-0.144,-0.156,-0.150,-0.113
